ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.5629,0.5573,0.5589,0.5632,0.5709,0.3737,0.0855,0.1258,0.368,0.1648,0.2031,0.3653,0.3312,0.307,0.3764,0.4091,0.5632,0.791,0.5839,0.727,unfaceted,test
0.5734,0.5668,0.5674,0.5721,0.5804,0.3805,0.0892,0.1284,0.3663,0.1686,0.2014,0.3691,0.337,0.308,0.3773,0.4119,0.5562,0.7958,0.5949,0.7325,unfaceted,dev
