ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.6335,0.6242,0.6202,0.6206,0.6243,0.4544,0.1223,0.1682,0.4276,0.2169,0.2501,0.4035,0.3879,0.3474,0.3834,0.457,0.6487,0.817,0.6339,0.7563,unfaceted,test
0.6389,0.628,0.6259,0.6278,0.6325,0.4539,0.1194,0.1647,0.4282,0.2181,0.2469,0.4028,0.3884,0.3427,0.3862,0.4575,0.6427,0.8194,0.641,0.7598,unfaceted,dev
