ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.5244,0.5317,0.5374,0.5439,0.5503,0.3534,0.079,0.1166,0.3527,0.1548,0.1917,0.3527,0.3105,0.293,0.372,0.3944,0.5057,0.7795,0.5647,0.7081,unfaceted,test
0.5349,0.5403,0.5445,0.5519,0.5612,0.3529,0.078,0.115,0.3509,0.1534,0.189,0.3547,0.3099,0.2928,0.3733,0.3945,0.5065,0.7845,0.5757,0.7147,unfaceted,dev
