ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.5284,0.5449,0.5336,0.5383,0.5504,0.375,0.1846,0.2324,0.3188,0.3068,0.287,0.2344,0.4065,0.2736,0.1635,0.347,0.6497,0.7679,0.5326,0.63,background,test
0.2632,0.298,0.3033,0.3269,0.3464,0.1294,0.0711,0.0904,0.1353,0.1485,0.1375,0.1265,0.2738,0.1675,0.0841,0.1659,0.26,0.5911,0.3363,0.4222,method,test
0.378,0.3689,0.3697,0.4016,0.4118,0.2353,0.1337,0.1556,0.1588,0.1774,0.1557,0.1471,0.3214,0.1918,0.096,0.2259,0.5494,0.645,0.3948,0.4857,result,test
0.3871,0.4011,0.3996,0.42,0.4339,0.244,0.1287,0.158,0.202,0.209,0.1915,0.168,0.3325,0.2097,0.1135,0.2443,0.4831,0.666,0.419,0.5103,all,test
