ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.6206,0.6128,0.6191,0.6204,0.6308,0.45,0.2106,0.2666,0.3562,0.3164,0.3081,0.2875,0.4859,0.3321,0.2051,0.4073,0.7396,0.8045,0.6143,0.6846,background,test
0.3049,0.293,0.3151,0.3306,0.3451,0.1412,0.0889,0.1031,0.1,0.1211,0.1047,0.1147,0.2955,0.1564,0.0824,0.156,0.3281,0.5963,0.3325,0.4329,method,test
0.4006,0.4102,0.4362,0.437,0.4442,0.2353,0.1284,0.1514,0.1941,0.2218,0.1922,0.1529,0.3567,0.2008,0.1091,0.2308,0.4945,0.6606,0.4259,0.5022,result,test
0.4385,0.4352,0.4536,0.4595,0.4702,0.272,0.1413,0.1719,0.214,0.2178,0.1995,0.183,0.3772,0.2277,0.1308,0.2618,0.5163,0.6848,0.4544,0.537,all,test
