ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split,paper_id,title
0.5704222249061415,0.6131645248430938,0.6517416603620227,0.6717290886071908,0.6789278825062507,0.2,0.06666666666666667,0.1,0.2,0.13333333333333333,0.16,0.2,0.26666666666666666,0.2285714285714286,0.13157894736842105,0.2409135344500974,1.0,0.8304944751676907,0.5962860896766987,0.6716458525281501,background,test,10014168,Unsupervised Learning of Morphology without Morphemes
0.549249018907304,0.5344709203020155,0.5860518477375345,0.5960237441124013,0.5872435293006977,0.2,0.058823529411764705,0.0909090909090909,0.3,0.17647058823529413,0.22222222222222224,0.2,0.23529411764705882,0.2162162162162162,0.09659090909090909,0.2489124351243978,1.0,0.7823410958181252,0.5290922455617447,0.5895504564885188,background,test,10695055,Naturalizing a Programming Language via Interactive Learning
0.91311732856428,0.8413671776985059,0.7743569699473383,0.7317411554516001,0.7301683703685882,0.8,0.19047619047619047,0.3076923076923077,0.7,0.3333333333333333,0.45161290322580644,0.45,0.42857142857142855,0.4390243902439024,0.2413793103448276,0.4856061659431755,1.0,0.9010698717087919,0.7392080449993832,0.7472126678421359,background,test,5764728,Embedding Web-based Statistical Translation Models in Cross-Language Information Retrieval
0.9437746712149306,0.7672716642839519,0.7055574258502043,0.7235752658673217,0.742789288606006,0.8,0.3333333333333333,0.47058823529411764,0.4,0.3333333333333333,0.3636363636363636,0.35,0.5833333333333334,0.4375,0.18181818181818182,0.5406303057621517,1.0,0.8678362331679484,0.7358539322516165,0.742071472083858,background,test,51977123,Methods to integrate a language model with semantic information for a word prediction component
0.6060360175329204,0.684589211267375,0.6980145920732431,0.6771212040500424,0.6709047534932009,0.4,0.3333333333333333,0.3636363636363636,0.4,0.6666666666666666,0.5,0.25,0.8333333333333334,0.3846153846153846,0.25,0.4185185185185185,0.5,0.7951670582082575,0.6892017354573137,0.7267356254261294,background,test,929877,"paper_id
929877    Modelling Protagonist Goals and Desires in Fir...
929877    Modelling Protagonist Goals and Desires in Fir...
Name: title, dtype: object"
0.4394809365170495,0.4517715692063817,0.524886795152212,0.537976856811283,0.5877808487392583,0.2,0.05555555555555555,0.08695652173913045,0.4,0.2222222222222222,0.2857142857142857,0.4,0.4444444444444444,0.4210526315789474,0.22784810126582278,0.35325040668216995,0.25,0.8027899988431902,0.5769239194015536,0.6881109007557303,background,test,3264891,"paper_id
3264891    Stacking classifiers for anti-spam filtering o...
3264891    Stacking classifiers for anti-spam filtering o...
Name: title, dtype: object"
0.32123295587696526,0.4127094434765416,0.3903330408041185,0.4073143868273635,0.42185470884890885,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16666666666666666,0.07692307692307691,0.09523809523809523,0.07909367603902781,0.05,0.6681195391125953,0.4073143868273635,0.5518138444392311,background,test,1936997,"paper_id
1936997    ""Not not bad""is not""bad"": A distributional acc...
1936997    ""Not not bad""is not""bad"": A distributional acc...
Name: title, dtype: object"
0.6519137804437236,0.6307544758239246,0.6753753253705482,0.6849669002903426,0.7270089475722923,0.4,0.07407407407407407,0.125,0.4,0.14814814814814814,0.21621621621621623,0.5,0.37037037037037035,0.425531914893617,0.2872340425531915,0.4926558164655667,1.0,0.8713243286812243,0.6788586922299061,0.791925884958719,background,test,11844559,"paper_id
11844559    Unsupervised Induction of Semantic Roles withi...
11844559    Unsupervised Induction of Semantic Roles withi...
Name: title, dtype: object"
0.741170877666631,0.7785767943715683,0.7588515734591247,0.7309788381878318,0.764636239035565,0.6,0.3333333333333333,0.42857142857142855,0.6,0.6666666666666666,0.631578947368421,0.35,0.7777777777777778,0.48275862068965514,0.4090909090909091,0.6873196248196247,1.0,0.8638933201567954,0.7309788381878318,0.7443795263957248,background,test,8781666,"paper_id
8781666    Learning to Win by Reading Manuals in a Monte-...
8781666    Learning to Win by Reading Manuals in a Monte-...
Name: title, dtype: object"
0.7501881466532778,0.6167721628885822,0.5724600770541591,0.6012787726254718,0.6007433569267677,0.8,0.26666666666666666,0.4,0.4,0.26666666666666666,0.32,0.3,0.4,0.34285714285714286,0.1485148514851485,0.42247120684923584,1.0,0.8059285692866258,0.5961077328760167,0.6434809625052166,background,test,1587,"paper_id
1587    Get out the vote: Determining support or oppos...
1587    Get out the vote: Determining support or oppos...
Name: title, dtype: object"
0.570178914431076,0.5709721907250938,0.5935097901028461,0.6121609630797735,0.672840263003846,0.2,0.07692307692307693,0.1111111111111111,0.1,0.07692307692307693,0.08695652173913043,0.1,0.15384615384615385,0.12121212121212123,0.1092436974789916,0.1690804010145054,0.5,0.8487737621236717,0.5963770240767001,0.755563060076668,background,test,189897839,"paper_id
189897839    Sentiment analysis is not solved! Assessing an...
189897839    Sentiment analysis is not solved! Assessing an...
Name: title, dtype: object"
0.878961873034099,0.7690303940137247,0.7387598892212666,0.6866339322325391,0.6814505497521907,0.6,0.3,0.4,0.5,0.5,0.5,0.35,0.7,0.4666666666666667,0.12345679012345678,0.5790727321524423,1.0,0.856053967959582,0.7018896019757537,0.7386038121917154,background,test,6173686,ABL: Alignment-Based Learning
