ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.1746,0.1993,0.2246,0.2506,0.283,0.0875,0.025,0.0378,0.1,0.0535,0.0673,0.1094,0.1276,0.1107,0.1307,0.1384,0.1802,0.5938,0.2407,0.3663,background,test
0.1466,0.1708,0.182,0.1956,0.2186,0.0471,0.0704,0.0489,0.0647,0.1229,0.0733,0.0559,0.1786,0.0779,0.0703,0.1154,0.1571,0.5104,0.1938,0.3004,method,test
0.1528,0.1773,0.203,0.2139,0.243,0.0941,0.0493,0.0626,0.0824,0.0777,0.0776,0.0824,0.1505,0.1035,0.086,0.1065,0.1692,0.5265,0.2073,0.3127,result,test
0.1577,0.1821,0.2028,0.2194,0.2475,0.076,0.0487,0.05,0.082,0.0853,0.0728,0.082,0.1527,0.0971,0.095,0.1197,0.1686,0.5426,0.2134,0.3256,all,test
