ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split,paper_id,title
0.14801416898835248,0.11114326703369884,0.11835997241832356,0.1330436418431311,0.16663561630114135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.057606837468799986,0.027777777777777776,0.5887019168790355,0.11599267859826312,0.15475899970209467,background,test,10014168,Unsupervised Learning of Morphology without Morphemes
0.04783022886796422,0.04879029523022963,0.09528455318747342,0.12077520789223858,0.13975717662610201,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.058823529411764705,0.05405405405405405,0.07203389830508475,0.06579908654874347,0.09090909090909091,0.5141871970792214,0.05085296665316796,0.13405357040578014,background,test,10695055,Naturalizing a Programming Language via Interactive Learning
0.15573555952976667,0.3034467074498774,0.26247496813448623,0.253965032194562,0.3076279067031653,0.0,0.0,0.0,0.1,0.047619047619047616,0.06451612903225806,0.1,0.09523809523809523,0.0975609756097561,0.21428571428571427,0.17381737057033458,0.14285714285714285,0.680867478309782,0.27473065024068777,0.4175196306190054,background,test,5764728,Embedding Web-based Statistical Translation Models in Cross-Language Information Retrieval
0.05622532878506941,0.1106523236800603,0.09057567325900033,0.1486422310150045,0.19446703308787075,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.125,0.1348314606741573,0.12337410470428241,0.058823529411764705,0.5292975924373152,0.1858731808534266,0.29950046014505516,background,test,51977123,Methods to integrate a language model with semantic information for a word prediction component
0.0,0.029504201093267922,0.095331250812226,0.08484363626331977,0.07826656866071924,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16666666666666666,0.07692307692307691,0.058823529411764705,0.04472301147479566,0.06666666666666667,0.4056958610855548,0.08635733308222841,0.10225527829608914,background,test,929877,"paper_id
929877    Modelling Protagonist Goals and Desires in Fir...
929877    Modelling Protagonist Goals and Desires in Fir...
Name: title, dtype: object"
0.31844280955114856,0.3708605585032828,0.3547313291505857,0.38909099796122804,0.41099804495449116,0.2,0.05555555555555555,0.08695652173913045,0.1,0.05555555555555555,0.07142857142857142,0.15,0.16666666666666666,0.15789473684210525,0.20930232558139536,0.177219302656066,0.2,0.7336520473156636,0.4085540859662374,0.49670672006692723,background,test,3264891,"paper_id
3264891    Stacking classifiers for anti-spam filtering o...
3264891    Stacking classifiers for anti-spam filtering o...
Name: title, dtype: object"
0.0,0.12379349705066078,0.13133182117527273,0.15484860766096956,0.14332494494235748,0.0,0.0,0.0,0.1,0.16666666666666666,0.125,0.05,0.16666666666666666,0.07692307692307691,0.06382978723404255,0.06009324853696851,0.125,0.4840863381407882,0.15484860766096956,0.1904560536534754,background,test,1936997,"paper_id
1936997    ""Not not bad""is not""bad"": A distributional acc...
1936997    ""Not not bad""is not""bad"": A distributional acc...
Name: title, dtype: object"
0.1703434597358124,0.19793709391742537,0.19306368568760732,0.25037539926239044,0.27382124444718803,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07407407407407407,0.0851063829787234,0.22131147540983606,0.1634554853251885,0.09090909090909091,0.6552585583181657,0.21862353428515363,0.34382858336841343,background,test,11844559,"paper_id
11844559    Unsupervised Induction of Semantic Roles withi...
11844559    Unsupervised Induction of Semantic Roles withi...
Name: title, dtype: object"
0.047206677719421296,0.08459534857899641,0.13792910693384777,0.1598451541271739,0.1487028468042262,0.0,0.0,0.0,0.1,0.1111111111111111,0.10526315789473685,0.1,0.2222222222222222,0.13793103448275865,0.0891089108910891,0.09238190119653884,0.1,0.4989481235758761,0.1598451541271739,0.2757670219551119,background,test,8781666,"paper_id
8781666    Learning to Win by Reading Manuals in a Monte-...
8781666    Learning to Win by Reading Manuals in a Monte-...
Name: title, dtype: object"
0.08400050286901228,0.08758750466203578,0.08777215329323498,0.148832911125066,0.16305348053786511,0.2,0.06666666666666667,0.1,0.1,0.06666666666666667,0.08,0.1,0.13333333333333333,0.1142857142857143,0.18072289156626506,0.16523030192575996,0.2,0.5285182070339,0.12482501301919519,0.2871918864545539,background,test,1587,"paper_id
1587    Get out the vote: Determining support or oppos...
1587    Get out the vote: Determining support or oppos...
Name: title, dtype: object"
0.0,0.11528442550840752,0.16477174113150467,0.20610753319033054,0.2598807577400432,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.23076923076923078,0.18181818181818185,0.11016949152542373,0.13324171977201654,0.09090909090909091,0.6493618926356343,0.2007275861489317,0.3398755234374309,background,test,189897839,"paper_id
189897839    Sentiment analysis is not solved! Assessing an...
189897839    Sentiment analysis is not solved! Assessing an...
Name: title, dtype: object"
0.1815571904488514,0.13302590421775162,0.1349365619485441,0.14323937298248166,0.16236505934913384,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.06666666666666667,0.11235955056179775,0.08501306690975607,0.05,0.503924268038239,0.16723494745550585,0.2812342916490285,background,test,6173686,ABL: Alignment-Based Learning
0.0,0.06442984830448062,0.07901201498601683,0.07217224590892671,0.08114254687455678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06741573033707865,0.04510099182819329,0.023255813953488372,0.437870166053325,0.0710119415470935,0.2157998388083564,background,test,7898033,"A Uniform Approach to Analogies, Synonyms, Antonyms, and Associations"
