ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.0842,0.1233,0.1431,0.1654,0.1849,0.025,0.0076,0.0117,0.0375,0.0298,0.0307,0.0781,0.1077,0.0847,0.1294,0.1097,0.0894,0.5466,0.1621,0.2664,background,test
0.0774,0.1084,0.1178,0.1327,0.1529,0.0353,0.049,0.0408,0.0294,0.0882,0.044,0.0353,0.153,0.0545,0.07,0.0823,0.0915,0.4678,0.1313,0.2365,method,test
0.1039,0.1248,0.1399,0.1603,0.1863,0.0824,0.0532,0.0579,0.0882,0.1051,0.0881,0.0706,0.1667,0.0935,0.0828,0.099,0.2439,0.4884,0.1512,0.2428,result,test
0.0886,0.1188,0.1334,0.1525,0.1745,0.048,0.0372,0.0373,0.052,0.0753,0.0547,0.061,0.1432,0.0774,0.0934,0.0968,0.1426,0.5,0.1479,0.2482,all,test
