ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.6983,0.679,0.6681,0.6633,0.6632,0.5156,0.1466,0.1988,0.4694,0.2478,0.2812,0.4256,0.4208,0.3701,0.3899,0.4955,0.7218,0.8369,0.6681,0.7778,unfaceted,test
0.7091,0.6853,0.6758,0.6726,0.6724,0.5179,0.1537,0.2005,0.4722,0.256,0.2813,0.4292,0.4287,0.3704,0.3965,0.5025,0.7342,0.841,0.678,0.7835,unfaceted,dev
