ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split
0.5462,0.5467,0.5492,0.5534,0.5597,0.3633,0.0803,0.1205,0.3575,0.1571,0.195,0.3536,0.3097,0.2934,0.37,0.395,0.5167,0.7845,0.5732,0.7106,unfaceted,test
0.5573,0.5597,0.5607,0.567,0.5728,0.3698,0.0836,0.1227,0.3597,0.1589,0.1953,0.3549,0.3129,0.2941,0.3723,0.4005,0.5325,0.7911,0.5869,0.7191,unfaceted,dev
